date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Jul 8 2013,$1.182,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=MC65,Jan Hernych,Halle,Gael Monfils,Jan Hernych,Gael Monfils,R16,75,7,64,73,52,46,52,50,,,,,,,65,50,0,53,53,46,26,,14,,,,,,,50,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=MC65
Jun 10 2013,$2.730,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=3&p=MC65,Milos Raonic,Halle,Gael Monfils,Milos Raonic,Gael Monfils,R32,62,7,66,78,64,28,64,33,,,,,,,74,40,8,63,71,36,21,,0,,,,,,,59,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=3&p=MC65
May 27 2013,$1.513,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224309,Tommy Robredo,French Open Slam,Gael Monfils,Tommy Robredo,Tommy Robredo,Round of 32,226,2,68,65,51,33,51,33,61,68,,,174,138,60,34,4,70,67,64,35,49,35,50,52,,,173,143,66,40,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224309
May 27 2013,$2.269,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224217,Ernests Gulbis,French Open Slam,Gael Monfils,Ernests Gulbis,Gael Monfils,Round of 64,195,8,64,66,59,23,59,64,29,33,,,186,150,64,35,3,60,77,46,34,,33,52,69,,,204,165,65,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224217
May 27 2013,$4.580,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224133,Tomas Berdych,French Open Slam,Gael Monfils,Tomas Berdych,Gael Monfils,Round of 128,243,26,72,79,54,24,54,38,66,44,,,190,149,72,32,11,66,76,53,21,,20,72,57,,,195,156,68,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224133
May 19 2013,$1.412,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=7&p=M824,Albert Montanes,Nice,Gael Monfils,Albert Montanes,Albert Montanes,F,74,2,77,53,50,27,50,100,,,,,,,52,31,2,72,72,58,46,,100,,,,,,,68,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=7&p=M824
May 19 2013,$1.465,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=6&p=MC65,Pablo Andujar,Nice,Gael Monfils,Pablo Andujar,Gael Monfils,S,100,2,52,72,56,46,56,44,,,,,,,64,44,0,70,53,60,27,,66,,,,,,,55,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=6&p=MC65
May 19 2013,$1.429,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=5&p=MC65,Robin Haase,Nice,Gael Monfils,Robin Haase,Gael Monfils,Q,67,1,65,74,56,37,56,62,,,,,,,68,50,0,60,62,29,25,,33,,,,,,,49,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=5&p=MC65
May 19 2013,$2.260,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=4&p=MC65,Fabio Fognini,Nice,Gael Monfils,Fabio Fognini,Gael Monfils,R16,91,2,67,79,47,45,47,20,,,,,,,69,44,0,52,54,57,20,,33,,,,,,,55,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=4&p=MC65
May 19 2013,$1.584,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=3&p=MC65,Santiago Giraldo,Nice,Gael Monfils,Santiago Giraldo,Gael Monfils,R32,117,6,63,76,46,41,46,44,,,,,,,65,44,1,65,58,50,23,,25,,,,,,,55,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=3&p=MC65
