player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Marin Cilic,Lleyton Hewitt,Marin Cilic,Jun 10 2013,London / Queen's Club,S,$1.713,$2.308,0,0.05,0,1
Marin Cilic,Feliciano Lopez,Marin Cilic,Jun 10 2013,London / Queen's Club,R16,$1.420,$2.810,0.58,-0.15,5,3
Roger Federer,Mikhail Youzhny,Roger Federer,Jun 10 2013,Halle,F,$1.153,$6.678,0.03,0,1,0
Richard Gasquet,Mikhail Youzhny,Mikhail Youzhny,Jun 10 2013,Halle,S,$1.559,$2.662,2.81,-1.77,21,17
Tommy Haas,Roger Federer,Roger Federer,Jun 10 2013,Halle,S,$3.501,$1.367,-0.13,0.14,2,2
Tommy Haas,Gael Monfils,Tommy Haas,Jun 10 2013,Halle,Q,$1.426,$3.166,0.78,-0.2,10,12
Tommy Haas,Ernests Gulbis,Tommy Haas,Jun 10 2013,Halle,R16,$1.498,$2.860,0.46,0.3,9,14
Lleyton Hewitt,Juan Martin Del Potro,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,Q,$3.141,$1.431,-0.05,-0.02,3,1
Lleyton Hewitt,Grigor Dimitrov,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,R32,$2.912,$1.484,-0.01,-0.02,4,1
Milos Raonic,Gael Monfils,Gael Monfils,Jun 10 2013,Halle,R32,$1.510,$2.730,-0.12,-0.07,2,2
Jo-Wilfried Tsonga,Andy Murray,Andy Murray,Jun 10 2013,London / Queen's Club,S,$3.075,$1.445,-0.12,0.4,1,2
Mikhail Youzhny,Kei Nishikori,Mikhail Youzhny,Jun 10 2013,Halle,R16,$2.350,$1.691,0.0,0.42,1,2
Philipp Kohlschreiber,Mikhail Youzhny,Mikhail Youzhny,Jun 10 2013,Halle,Q,$1.433,$3.131,-0.21,-0.13,2,2
Stan Wawrinka,Jeremy Chardy,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,Q,$1.439,$3.106,0.1,-0.7,1,10
Roberto Bautista Agut,Jeremy Chardy,Jeremy Chardy,Jun 16 2013,French Open Slam,Round of 64,$3.309,$1.399,0,-0.09,0,1
Fernando Verdasco,Feliciano Lopez,Feliciano Lopez,Jun 17 2013,Eastbourne,Q,$2.279,$1.729,0.09,0.15,2,1
Fernando Verdasco,Alexandr Dolgopolov,Fernando Verdasco,Jun 17 2013,Eastbourne,R32,$5.849,$1.182,0,0.09,0,3
Tomas Berdych,Kevin Anderson,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 32,$1.208,$5.287,1.36,-1.0,18,17
Tomas Berdych,Marin Cilic,Marin Cilic,Jun 24 2013,London / Queen's Club,Q,$1.396,$3.326,0.19,0.16,6,2
Juan Martin del Potro,David Ferrer,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Quarter Final,$2.135,$1.823,0.04,0,1,0
Juan Martin del Potro,Andreas Seppi,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Round of 16,$1.283,$4.205,0.3,0,1,0
Novak Djokovic,Juan Martin del Potro,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Semi Final,$1.155,$6.625,0.27,-0.63,4,19
David Ferrer,Alexandr Dolgopolov,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 32,$1.484,$2.915,0,-1.09,0,12
Tommy Haas,Novak Djokovic,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 16,$7.120,$1.141,2.1,1.74,9,7
Tommy Haas,Feliciano Lopez,Tommy Haas,Jun 24 2013,Wimbledon Slam,Round of 32,$1.515,$2.801,0.43,0.24,4,2
Kei Nishikori,Andreas Seppi,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 32,$1.373,$3.467,0.41,-0.19,3,2
Jo-Wilfried Tsonga,Ernests Gulbis,Ernests Gulbis,Jun 24 2013,Wimbledon Slam,Round of 64,$1.256,$4.533,0.05,0.04,1,7
Fernando Verdasco,Andy Murray,Andy Murray,Jun 24 2013,Wimbledon Slam,Quarter Final,$9.817,$1.093,0,0.65,0,4
Fernando Verdasco,Ernests Gulbis,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 32,$2.447,$1.644,0.15,0.34,20,8
Stan Wawrinka,Lleyton Hewitt,Lleyton Hewitt,Jun 24 2013,Wimbledon Slam,Round of 128,$1.676,$2.380,1.2,-1.02,6,11
Jerzy Janowicz,Andy Murray,Andy Murray,Jun 24 2013,Wimbledon Slam,Semi Final,$5.145,$1.216,1.31,0.29,14,10
Gilles Simon,Andreas Seppi,Gilles Simon,Jun 24 2013,Eastbourne,S,$1.708,$2.317,-0.31,0,4,0
Nicolas Almagro,Jerzy Janowicz,Jerzy Janowicz,Jul 8 2013,Wimbledon Slam,Round of 32,$2.169,$1.799,1.15,-0.02,6,4
Tomas Berdych,Novak Djokovic,Novak Djokovic,Jul 8 2013,Wimbledon Slam,Quarter Final,$8.023,$1.121,-0.02,0.25,10,7
