tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Indian Wells,Roger Federer,Kevin Anderson,Roger Federer,Q,69,3,64,78,88,28,88,42,,,,,,,82,44,3,59,71,31,21,,0,,,,,,,55,17,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=F324
ATP World Tour Masters 1000 Indian Wells,Roger Federer,Alexandr Dolgopolov,Roger Federer,S,62,7,72,74,83,33,83,44,,,,,,,76,50,2,39,66,37,25,,0,,,,,,,49,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=6&p=F324
ATP World Tour Masters 1000 Miami,Roger Federer,Ivo Karlovic,Roger Federer,R64,75,6,75,94,92,18,92,33,,,,,,,94,30,13,64,81,45,5,,0,,,,,,,69,5,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=F324
ATP World Tour Masters 1000 Miami,Roger Federer,Thiemo de Bakker,Roger Federer,R32,63,6,60,84,82,34,82,33,,,,,,,83,44,7,60,65,40,15,,0,,,,,,,55,16,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F324
ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Novak Djokovic,Roger Federer,S,75,3,70,82,58,40,58,60,,,,,,,75,38,2,67,60,63,17,,0,,,,,,,61,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=F324
ATP World Tour Masters 1000 Miami,Roger Federer,Richard Gasquet,Roger Federer,R16,49,6,67,88,58,46,58,83,,,,,,,78,53,0,60,53,35,12,,0,,,,,,,46,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=F324
ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Stan Wawrinka,Stan Wawrinka,F,134,3,66,73,44,20,44,66,,,,,,,64,30,5,58,79,56,26,,42,,,,,,,69,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=7&p=W367
ATP World Tour Masters 1000 Miami,Roger Federer,Kei Nishikori,Kei Nishikori,Q,129,7,53,70,48,35,48,44,,,,,,,60,40,6,65,64,48,29,,41,,,,,,,59,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N552
ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Radek Stepanek,Roger Federer,R32,52,2,78,87,44,44,44,100,,,,,,,78,48,0,60,56,43,12,,0,,,,,,,51,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=F324
ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Lukas Rosol,Roger Federer,R16,58,6,58,90,40,44,40,100,,,,,,,69,53,0,58,56,33,9,,25,,,,,,,46,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=F324
ATP World Tour Masters 1000 Indian Wells,Roger Federer,Stan Wawrinka,Roger Federer,R16,140,5,59,66,50,38,50,33,,,,,,,59,42,6,60,61,53,33,,42,,,,,,,57,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=4&p=F324
Dubai,Roger Federer,Malek Jaziri,Roger Federer,R32,90,10,54,83,66,38,66,45,,,,,,,75,45,2,48,61,47,16,,50,,,,,,,54,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2013&r=3&p=F324
