tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Delray Beach,Feliciano Lopez,Sam Querrey,Feliciano Lopez,R32,94,4,47,87,57,38,42,35,,,,,,,71,44,7,53,61,47,12,,33,,,,,,,55,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=L397
Memphis,Feliciano Lopez,Ivo Karlovic,Ivo Karlovic,R16,70,4,64,77,63,5,36,0,,,,,,,72,10,19,67,94,77,22,,25,,,,,,,89,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=4&p=K336
Acapulco,Feliciano Lopez,David Ferrer,David Ferrer,R16,83,4,67,75,41,26,58,0,,,,,,,64,27,2,69,73,70,25,,100,,,,,,,72,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=F401
Acapulco,Feliciano Lopez,Edouard Roger-Vasselin,Feliciano Lopez,R32,81,15,48,83,54,36,45,44,,,,,,,68,46,2,58,63,38,16,,12,,,,,,,53,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=L397
Delray Beach,Feliciano Lopez,Adrian Mannarino,Feliciano Lopez,R16,103,10,57,79,59,36,40,42,,,,,,,70,38,3,51,63,58,20,,100,,,,,,,61,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=L397
Delray Beach,Feliciano Lopez,Steve Johnson,Steve Johnson,Q,74,7,59,68,33,27,66,0,,,,,,,54,31,4,62,72,63,31,,30,,,,,,,68,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=5&p=J386
ATP World Tour Masters 1000 Indian Wells,Feliciano Lopez,James Ward,Feliciano Lopez,R64,122,9,58,73,52,23,47,37,,,,,,,64,37,9,61,76,39,26,,10,,,,,,,62,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=L397
ATP World Tour Masters 1000 Indian Wells,Feliciano Lopez,Dudi Sela,Feliciano Lopez,R128,97,9,69,72,54,32,45,28,,,,,,,67,38,1,59,67,51,27,,0,,,,,,,61,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=1&p=L397
ATP World Tour Masters 1000 Indian Wells,Feliciano Lopez,Mikhail Kukushkin,Feliciano Lopez,R32,104,10,57,74,50,21,50,66,,,,,,,63,29,4,55,78,60,25,,20,,,,,,,70,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=L397
ATP World Tour Masters 1000 Indian Wells,Feliciano Lopez,Julien Benneteau,Julien Benneteau,R16,92,8,58,76,42,12,57,0,,,,,,,62,19,13,64,87,68,23,,20,,,,,,,80,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=B747
ATP World Tour Masters 1000 Cincinnati,Feliciano Lopez,Kei Nishikori,Feliciano Lopez,R64,92,12,48,79,61,30,38,40,,,,,,,70,35,5,67,69,54,20,,25,,,,,,,64,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=L397
ATP World Tour Masters 1000 Miami,Feliciano Lopez,Jiri Vesely,Feliciano Lopez,R64,93,12,50,83,55,36,44,40,,,,,,,69,38,9,69,63,57,16,,0,,,,,,,61,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=L397
Kuala Lumpur,Feliciano Lopez,Lukas Lacko,Feliciano Lopez,R32,100,5,55,77,59,27,40,60,,,,,,,69,41,1,57,72,40,22,,16,,,,,,,58,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6003&y=2012&r=3&p=L397
