p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
68,46,David Ferrer,$3.668,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Kei Nishikori,FALSE,56,cluster_1,-1.15,12
75,40,Marin Cilic,$1.518,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Jo-Wilfried Tsonga,FALSE,34,cluster_4,-0.19,5
64,48,Richard Gasquet,$4.328,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Mikhail Youzhny,FALSE,64,cluster_2,-1.34,19
53,27,John Isner,$1.456,Ernests Gulbis,Apr 5 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Ernests Gulbis,FALSE,71,cluster_0,2.02,21
68,37,John Isner,$1.279,John Isner,Apr 8 2013,Houston,F,Nicolas Almagro,FALSE,32,cluster_1,0.03,9
54,32,Gael Monfils,$1.228,Nicolas Almagro,Apr 8 2013,Houston,R16,Nicolas Almagro,FALSE,39,cluster_4,0.96,16
62,31,Nicolas Almagro,$4.247,John Isner,Apr 8 2013,Houston,F,John Isner,FALSE,66,cluster_3,0.71,17
67,31,Kevin Anderson,$2.226,Tommy Robredo,Apr 8 2013,Casablanca,F,Tommy Robredo,FALSE,61,cluster_1,0.4,17
55,42,Stan Wawrinka,$4.328,Tommy Robredo,Apr 8 2013,Casablanca,S,Tommy Robredo,FALSE,62,cluster_0,1.08,22
57,44,Tommy Robredo,$1.272,Tommy Robredo,Apr 8 2013,Casablanca,S,Stan Wawrinka,FALSE,75,cluster_1,0.82,21
68,32,Tommy Robredo,$1.761,Tommy Robredo,Apr 15 2013,Casablanca,F,Kevin Anderson,FALSE,34,cluster_1,0.08,9
70,39,Richard Gasquet,$1.446,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,Tomas Berdych,FALSE,81,cluster_4,-0.28,17
61,46,Richard Gasquet,$2.370,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Marin Cilic,FALSE,49,cluster_2,0.07,9
51,27,Kevin Anderson,$1.369,Marin Cilic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Marin Cilic,FALSE,50,cluster_3,1.61,17
60,36,Rafael Nadal,$17.229,Rafael Nadal,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Grigor Dimitrov,FALSE,69,cluster_1,-0.63,18
48,37,Rafael Nadal,$2.996,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,F,Novak Djokovic,FALSE,80,cluster_1,2.85,18
53,36,Mikhail Youzhny,$1.089,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Novak Djokovic,FALSE,84,cluster_1,4.38,23
53,38,Marin Cilic,$1.680,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Richard Gasquet,FALSE,60,cluster_2,0.91,24
72,46,Ernests Gulbis,$3.026,Ernests Gulbis,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,John Isner,FALSE,65,cluster_2,-0.86,14
67,45,Nicolas Almagro,$4.940,Nicolas Almagro,Apr 15 2013,Houston,R16,Gael Monfils,FALSE,65,cluster_2,-0.62,18
68,44,Rafael Nadal,$7.895,Rafael Nadal,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,S,Jo-Wilfried Tsonga,FALSE,29,cluster_0,-0.4,5
65,37,Stan Wawrinka,$2.125,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Jo-Wilfried Tsonga,FALSE,32,cluster_0,-0.31,7
62,34,Jo-Wilfried Tsonga,$1.830,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Stan Wawrinka,FALSE,71,cluster_2,3.02,31
63,46,Novak Djokovic,$10.139,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Mikhail Youzhny,FALSE,62,cluster_2,-1.75,12
64,44,Rafael Nadal,$8.289,Rafael Nadal,Apr 22 2013,Barcelona,F,Nicolas Almagro,FALSE,22,cluster_3,-0.06,3
