player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Ernests Gulbis,Fernando Verdasco,Ernests Gulbis,Apr 22 2013,Barcelona,R32,$1.400,$2.850,1.52,-0.27,21,19
Rafael Nadal,Nicolas Almagro,Rafael Nadal,Apr 22 2013,Barcelona,F,$1.116,$8.289,3.51,-0.06,33,3
Milos Raonic,Tommy Robredo,Milos Raonic,Apr 22 2013,Barcelona,Q,$1.445,$3.075,0.95,-1.3,14,15
Milos Raonic,Ernests Gulbis,Milos Raonic,Apr 22 2013,Barcelona,R16,$1.568,$2.638,0.38,-0.8,8,22
Tommy Robredo,Milos Raonic,Milos Raonic,Apr 22 2013,Barcelona,Q,$3.075,$1.445,-1.3,0.95,15,14
Tommy Robredo,Tomas Berdych,Tommy Robredo,Apr 22 2013,Barcelona,R16,$2.975,$1.469,0.34,-0.15,26,15
Tommy Robredo,Grigor Dimitrov,Tommy Robredo,Apr 22 2013,Barcelona,R32,$2.523,$1.611,1.61,-0.27,18,13
Fernando Verdasco,Ernests Gulbis,Ernests Gulbis,Apr 22 2013,Barcelona,R32,$2.850,$1.400,-0.27,1.52,19,21
David Ferrer,Andreas Seppi,David Ferrer,Apr 29 2013,Oeiras,S,$1.219,$5.094,4.24,-1.64,24,10
Ernests Gulbis,Tommy Haas,Tommy Haas,Apr 29 2013,Munich,R16,$1.820,$2.139,-0.46,0.91,15,27
Tommy Haas,Ernests Gulbis,Tommy Haas,Apr 29 2013,Munich,R16,$2.139,$1.820,0.91,-0.46,27,15
Tommy Robredo,Andreas Seppi,Andreas Seppi,Apr 29 2013,Oeiras,Q,$1.755,$2.236,-0.73,1.16,9,23
Andreas Seppi,David Ferrer,David Ferrer,Apr 29 2013,Oeiras,S,$5.094,$1.219,-1.64,4.24,10,24
Andreas Seppi,Tommy Robredo,Andreas Seppi,Apr 29 2013,Oeiras,Q,$2.236,$1.755,1.16,-0.73,23,9
Kevin Anderson,Marin Cilic,Marin Cilic,May 5 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$3.487,$1.369,-1.07,1.61,11,17
Tomas Berdych,Kevin Anderson,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.366,$3.510,1.41,-0.18,23,9
Tomas Berdych,Tommy Robredo,Tommy Robredo,May 5 2013,Barcelona,R16,$1.469,$2.975,-0.15,0.34,15,26
Grigor Dimitrov,Stan Wawrinka,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$2.842,$1.503,-0.22,1.94,13,23
Grigor Dimitrov,Novak Djokovic,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$11.919,$1.072,-0.64,1.26,17,25
Novak Djokovic,Grigor Dimitrov,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.072,$11.919,1.26,-0.64,25,17
