player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Kevin Anderson,Marin Cilic,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$2.757,$1.528,-0.03,-0.64,5,13
Kevin Anderson,Tomas Berdych,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Madrid,R16,$3.510,$1.366,0.13,0.26,3,10
Jeremy Chardy,Kei Nishikori,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$3.003,$1.462,1.78,-0.66,11,6
Marin Cilic,Kevin Anderson,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.528,$2.757,-0.64,-0.03,13,5
Grigor Dimitrov,Richard Gasquet,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$2.086,$1.860,-0.87,1.18,6,9
Novak Djokovic,Tomas Berdych,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$1.188,$5.701,-0.08,-0.7,15,9
David Ferrer,Rafael Nadal,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$6.520,$1.158,0.57,0.95,7,7
David Ferrer,Fernando Verdasco,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.192,$5.624,-1.22,0.32,18,10
Richard Gasquet,Grigor Dimitrov,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.860,$2.086,1.18,-0.87,9,6
Ernests Gulbis,Rafael Nadal,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$11.748,$1.073,-0.28,-0.5,5,6
Tommy Haas,Mikhail Youzhny,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$1.444,$3.084,-1.5,1.54,10,13
Rafael Nadal,David Ferrer,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$1.158,$6.520,0.95,0.57,7,7
Rafael Nadal,Ernests Gulbis,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$1.073,$11.748,-0.5,-0.28,6,5
Kei Nishikori,Jeremy Chardy,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.462,$3.003,-0.66,1.78,6,11
Fernando Verdasco,David Ferrer,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$5.624,$1.192,0.32,-1.22,10,18
Mikhail Youzhny,Tommy Haas,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$3.084,$1.444,1.54,-1.5,13,10
Tomas Berdych,Novak Djokovic,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,$5.701,$1.188,-0.7,-0.08,9,15
Tomas Berdych,Kevin Anderson,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,$1.325,$3.814,1.09,-1.12,19,5
Tomas Berdych,Stan Wawrinka,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,$1.939,$1.995,1.21,-1.01,20,8
Nicolas Almagro,Tommy Robredo,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,$1.221,$5.047,-0.05,0.88,2,15
Nicolas Almagro,Andreas Seppi,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,$1.219,$5.085,0.2,-0.86,1,5
Jeremy Chardy,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,$4.290,$1.276,-0.26,0.83,2,5
