matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Acapulco,Ivo Karlovic,John Isner,Ivo Karlovic,R32,99,15,2,63,83,84,17,84,50,,,,,,,8,1,68,82,56,16,56,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=K336
,ATP World Tour Masters 1000 Indian Wells,John Isner,Nikolay Davydenko,John Isner,R64,81,15,2,64,94,70,30,70,12,,,,,,,3,3,62,69,64,5,64,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=I186
,ATP World Tour Masters 1000 Indian Wells,John Isner,Yen-Hsun Lu,John Isner,R32,67,13,0,65,83,63,30,63,40,,,,,,,0,2,70,69,53,16,53,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=I186
,ATP World Tour Masters 1000 Indian Wells,John Isner,Fernando Verdasco,John Isner,R16,112,10,0,70,74,73,22,73,33,,,,,,,4,3,67,77,57,25,57,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=I186
,ATP World Tour Masters 1000 Indian Wells,John Isner,Ernests Gulbis,John Isner,Q,109,13,3,73,81,42,24,42,16,,,,,,,7,7,54,75,53,18,53,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=I186
,ATP World Tour Masters 1000 Indian Wells,Novak Djokovic,John Isner,Novak Djokovic,S,144,7,2,68,74,51,37,51,41,,,,,,,8,2,68,62,44,25,44,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=6&p=D643
,ATP World Tour Masters 1000 Miami,John Isner,Donald Young,John Isner,R64,116,16,1,70,80,53,32,53,66,,,,,,,7,5,64,67,60,19,60,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=I186
,ATP World Tour Masters 1000 Miami,John Isner,Nicolas Almagro,John Isner,R32,71,17,1,70,79,61,22,61,40,,,,,,,7,2,68,77,50,20,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=I186
,ATP World Tour Masters 1000 Miami,Tomas Berdych,John Isner,Tomas Berdych,R16,91,7,3,57,88,60,36,60,25,,,,,,,9,1,64,63,50,11,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=BA47
,Houston,Dustin Brown,John Isner,Dustin Brown,R16,139,12,10,61,81,50,26,50,33,,,,,,,13,2,58,73,60,18,60,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=BA65
,ATP World Tour Masters 1000 Madrid,John Isner,Teymuraz Gabashvili,John Isner,R64,106,14,1,78,80,71,30,71,14,,,,,,,1,3,68,69,44,19,44,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=I186
,ATP World Tour Masters 1000 Madrid,John Isner,Marinko Matosevic,John Isner,R32,158,23,3,70,79,56,23,56,16,,,,,,,4,3,74,76,58,20,58,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=I186
,ATP World Tour Masters 1000 Madrid,David Ferrer,John Isner,David Ferrer,R16,78,2,1,71,89,60,40,60,28,,,,,,,6,0,78,60,64,10,64,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=F401
,ATP World Tour Masters 1000 Rome,Jurgen Melzer,John Isner,Jurgen Melzer,R64,87,4,0,78,71,75,30,75,66,,,,,,,13,0,70,69,47,28,47,12,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=M762
,US Open Slam,John Isner,Filippo Volandri,John Isner,Round of 128,76,16,3,73,82,58,49,58,86,29,20,12,17,205,170,1,5,56,51,37,18,37,0,13,25,5,10,168,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634157
,US Open Slam,John Isner,Gael Monfils,John Isner,Round of 64,175,23,2,70,80,55,27,55,33,60,55,37,63,205,173,7,3,83,73,52,20,52,14,35,29,9,16,160,149,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634229
,US Open Slam,Philipp Kohlschreiber,John Isner,Philipp Kohlschreiber,Round of 32,167,6,1,73,77,57,16,57,75,38,17,15,18,167,143,26,5,74,84,47,23,47,29,65,40,18,31,199,168,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634315
,Australian Open Slam,Martin Klizan,John Isner,Martin Klizan,Round of 128,82,9,2,54,83,81,31,81,40,27,10,1,3,176,145,10,0,78,69,40,17,40,0,23,23,5,10,187,161,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704124
