tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Vina del Mar,Nicolas Almagro,Taro Daniel,Nicolas Almagro,Q,81,12,46,95,68,35,68,66,,,,,,,80,45,1,57,65,40,4,,33,,,,,,,54,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=5&p=A479
ATP World Tour Masters 1000 Miami,Nicolas Almagro,David Goffin,Nicolas Almagro,R32,73,7,41,81,52,34,52,75,,,,,,,64,41,4,62,65,47,18,,33,,,,,,,58,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=A479
Vina del Mar,Nicolas Almagro,Martin Alund,Nicolas Almagro,R16,99,11,61,90,66,30,66,66,,,,,,,81,34,2,58,70,58,9,,100,,,,,,,65,18,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=4&p=A479
Australian Open Slam,Nicolas Almagro,Daniel Gimeno-Traver,Nicolas Almagro,Round of 64,101,10,64,79,50,34,50,60,26,25,"
								","
								",199,154,69,46,4,49,66,43,21,,17,16,34,"
                            ","
                            ",187,149,54,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954213
Vina del Mar,Nicolas Almagro,Fabio Fognini,Fabio Fognini,S,131,11,58,72,56,29,56,45,,,,,,,65,41,8,54,70,44,27,,40,,,,,,,58,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=6&p=F510
French Open Slam,Nicolas Almagro,Andreas Haider-Maurer,Nicolas Almagro,Round of 128,135,13,53,88,56,26,56,57,40,37,"
								","
								",201,148,73,33,8,65,74,54,12,,25,28,32,"
                            ","
                            ",201,156,67,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224140
Hamburg,Nicolas Almagro,Tobias Kamke,Nicolas Almagro,R32,67,6,57,91,66,36,66,50,,,,,,,80,49,0,57,63,33,8,,100,,,,,,,50,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=3&p=A479
Hamburg,Nicolas Almagro,Guillermo Garcia-Lopez,Nicolas Almagro,R16,72,5,54,80,66,30,66,50,,,,,,,73,45,0,52,70,37,20,,0,,,,,,,54,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=4&p=A479
US Open Slam,Nicolas Almagro,Denis Istomin,Denis Istomin,Round of 128,115,7,64,63,44,28,44,33,7,5,"
                            ","
                            ",,,56,32,13,64,72,61,37,56,64,13,2,"
								","
								",,,68,44,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634124
Bastad,Nicolas Almagro,Guillermo Garcia-Lopez,Nicolas Almagro,R16,122,6,53,65,42,42,42,63,,,,,,,54,53,0,49,57,36,34,,20,,,,,,,46,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=2013&r=4&p=A479
Bastad,Nicolas Almagro,Fernando Verdasco,Fernando Verdasco,Q,144,8,46,67,48,36,48,33,,,,,,,57,39,6,52,63,57,32,,45,,,,,,,60,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=2013&r=5&p=V306
French Open Slam,Nicolas Almagro,Tommy Robredo,Tommy Robredo,Round of 16,229,7,63,67,51,30,51,46,69,67,"
                            ","
                            ",186,144,61,38,8,63,70,50,33,49,35,42,39,"
								","
								",173,138,62,39,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224405
French Open Slam,Nicolas Almagro,Edouard Roger-Vasselin,Nicolas Almagro,Round of 64,110,9,46,78,55,30,55,42,41,45,"
								","
								",200,148,65,39,4,57,70,50,22,,9,23,34,"
                            ","
                            ",183,145,61,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224220
Hamburg,Nicolas Almagro,Juan Monaco,Nicolas Almagro,Q,114,5,51,68,47,40,47,85,,,,,,,58,46,3,82,59,28,31,,18,,,,,,,53,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=2013&r=5&p=A479
ATP World Tour Masters 1000 Cincinnati,Nicolas Almagro,Grigor Dimitrov,Grigor Dimitrov,R64,87,6,50,82,41,15,41,33,,,,,,,62,32,19,63,84,38,17,,66,,,,,,,67,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=D875
