tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Wimbledon Slam,Juan Martin del Potro,Andreas Seppi,Juan Martin del Potro,Round of 16,142,9,72,75,62,25,62,18,36,15,"
								","
								",188,157,72,39,5,59,75,41,25,41,0,36,20,"
                            ","
                            ",178,141,61,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604404
Wimbledon Slam,Juan Martin del Potro,David Ferrer,Juan Martin del Potro,Quarter Final,136,12,72,87,46,36,46,38,42,11,"
								","
								",191,151,76,40,8,68,64,52,13,52,0,41,22,"
                            ","
                            ",180,152,60,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604502
Basel,Juan Martin Del Potro,Brian Baker,Juan Martin Del Potro,R16,79,10,74,77,75,33,75,57,,,,,,,76,42,4,57,66,45,22,45,0,,,,,,,57,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=4&p=D683
Australian Open Slam,Juan Martin del Potro,Rhyne Williams,Juan Martin del Potro,Round of 128,184,16,64,84,56,20,56,50,46,29,21,28,192,153,74,32,29,57,80,51,16,51,50,55,39,12,18,186,144,68,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704116
Basel,Juan Martin Del Potro,Richard Gasquet,Juan Martin Del Potro,S,68,8,69,73,53,56,53,62,,,,,,,67,55,3,48,43,45,26,45,50,,,,,,,44,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=6&p=D683
Basel,Juan Martin Del Potro,Roger Federer,Juan Martin Del Potro,F,164,10,55,87,61,24,61,50,,,,,,,75,27,18,67,76,63,12,63,0,,,,,,,72,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=7&p=D683
US Open Slam,Juan Martin del Potro,Leonardo Mayer,Juan Martin del Potro,Round of 32,,7,65,84,54,32,54,31,34,21,"
								","
								",188,152,73,41,11,57,68,48,16,48,20,44,45,"
                            ","
                            ",196,165,59,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114313
Basel,Juan Martin Del Potro,Kevin Anderson,Juan Martin Del Potro,Q,143,2,85,71,58,25,58,28,,,,,,,69,38,20,63,75,38,28,38,100,,,,,,,61,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2012&r=5&p=D683
ATP World Tour Masters 1000 Paris,Juan Martin Del Potro,Michael Llodra,Michael Llodra,R16,69,6,72,67,50,10,50,0,,,,,,,62,20,8,60,90,65,32,65,50,,,,,,,80,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=4&p=L428
Rotterdam,Juan Martin Del Potro,Ernests Gulbis,Juan Martin Del Potro,R16,99,5,57,74,59,28,59,25,,,,,,,68,34,12,70,71,52,25,52,0,,,,,,,65,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2013&r=4&p=D683
