matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Barclays ATP World Tour Finals,Rafael Nadal,Roger Federer,Rafael Nadal,S,80,2,0,76,74,69,30,69,100,,,,,,,6,1,66,69,40,25,40,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=6&p=N409
,Barclays ATP World Tour Finals,Novak Djokovic,Rafael Nadal,Novak Djokovic,F,96,6,0,65,68,70,42,70,27,,,,,,,1,4,73,57,50,31,50,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=7&p=D643
,Doha,Rafael Nadal,Lukas Rosol,Rafael Nadal,R32,104,3,3,68,67,58,43,58,50,,,,,,,3,2,57,56,52,32,52,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=N409
,Doha,Rafael Nadal,Tobias Kamke,Rafael Nadal,R16,146,5,0,73,73,62,27,62,25,,,,,,,3,6,54,72,50,26,50,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=N409
,Doha,Rafael Nadal,Ernests Gulbis,Rafael Nadal,Q,115,3,0,80,63,64,26,64,50,,,,,,,9,3,62,73,37,36,37,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=5&p=N409
,Doha,Rafael Nadal,Peter Gojowczyk,Rafael Nadal,S,120,5,2,63,76,42,36,42,37,,,,,,,1,4,54,63,44,23,44,75,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=6&p=N409
,Doha,Rafael Nadal,Gael Monfils,Rafael Nadal,F,120,2,0,76,73,84,33,84,45,,,,,,,13,4,72,66,45,26,45,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=7&p=N409
,Rio de Janeiro,Rafael Nadal,Daniel Gimeno-Traver,Rafael Nadal,R32,101,1,1,57,77,65,30,65,50,,,,,,,5,5,56,69,42,22,42,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=N409
,Rio de Janeiro,Rafael Nadal,Albert Montanes,Rafael Nadal,R16,75,0,2,64,63,55,55,55,60,,,,,,,0,4,63,44,33,36,33,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=4&p=N409
,Rio de Janeiro,Rafael Nadal,Joao Sousa,Rafael Nadal,Q,76,4,3,70,72,50,43,50,50,,,,,,,1,5,52,56,25,27,25,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=5&p=N409
